icd9_code,icd9_description
049.9,Unspecified non-arthropod-borne viral diseases of central nervous system
052.0,Postvaricella encephalitis
052.1,Varicella (hemorrhagic) pneumonitis
052.7,Chickenpox with other specified complications
052.9,Varicella without mention of complication
053.0,Herpes zoster with meningitis
053.11,Geniculate herpes zoster
053.12,Postherpetic trigeminal neuralgia
053.13,Postherpetic polyneuropathy
053.14,Herpes zoster myelitis
053.19,Herpes zoster with other nervous system complications
053.20,Herpes zoster dermatitis of eyelid
053.29,Herpes zoster with other ophthalmic complications
053.71,Otitis externa due to herpes zoster
053.79,Herpes zoster with other specified complications
053.9,Herpes zoster without mention of complication
054.0,Eczema herpeticum
054.10,"Genital herpes, unspecified"
054.12,Herpetic ulceration of vulva
054.13,Herpetic infection of penis
054.19,Other genital herpes
054.2,Herpetic gingivostomatitis
054.3,Herpetic meningoencephalitis
054.40,Herpes simplex with unspecified ophthalmic complication
054.43,Herpes simplex disciform keratitis
054.5,Herpetic septicemia
054.71,Visceral herpes simplex
054.72,Herpes simplex meningitis
054.79,Herpes simplex with other specified complications
054.9,Herpes simplex without mention of complication
057.8,Other specified viral exanthemata
057.9,"Viral exanthem, unspecified"
058.21,Human herpesvirus 6 encephalitis
058.29,Other human herpesvirus encephalitis
058.81,Human herpesvirus 6 infection
058.89,Other human herpesvirus infection
062.2,Eastern equine encephalitis
066.41,West Nile Fever with encephalitis
066.42,West Nile Fever with other neurologic manifestation
070.0,Viral hepatitis A with hepatic coma
070.1,Viral hepatitis A without mention of hepatic coma
070.20,"Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta"
070.22,Chronic viral hepatitis B with hepatic coma without hepatitis delta
070.30,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
070.31,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta"
070.32,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta
070.33,Chronic viral hepatitis B without mention of hepatic coma with hepatitis delta
070.41,Acute hepatitis C with hepatic coma
070.44,Chronic hepatitis C with hepatic coma
070.49,Other specified viral hepatitis with hepatic coma
070.51,Acute hepatitis C without mention of hepatic coma
070.52,Hepatitis delta without mention of active hepatitis B disease or hepatic coma
070.53,Hepatitis E without mention of hepatic coma
070.54,Chronic hepatitis C without mention of hepatic coma
070.59,Other specified viral hepatitis without mention of hepatic coma
070.70,Unspecified viral hepatitis C without hepatic coma
070.71,Unspecified viral hepatitis C with hepatic coma
070.9,Unspecified viral hepatitis without mention of hepatic coma
075,Infectious mononucleosis
077.8,Other viral conjunctivitis
077.99,Unspecified diseases of conjunctiva due to viruses
078.10,"Viral warts, unspecified"
078.11,Condyloma acuminatum
078.19,Other specified viral warts
078.5,Cytomegaloviral disease
078.89,Other specified diseases due to viruses
079.0,Adenovirus infection in conditions classified elsewhere and of unspecified site
079.3,Rhinovirus infection in conditions classified elsewhere and of unspecified site
079.4,Human papillomavirus in conditions classified elsewhere and of unspecified site
079.51,"Human T-cell lymphotrophic virus, type I [HTLV-I]"
079.53,"Human immunodeficiency virus, type 2 [HIV-2]"
079.6,Respiratory syncytial virus (RSV)
079.83,Parvovirus B19
079.89,Other specified viral infection
079.98,Unspecified chlamydial infection
079.99,Unspecified viral infection
082.40,"Ehrlichiosis, unspecified"
082.49,Other ehrlichiosis
084.0,Falciparum malaria [malignant tertian]
084.4,Other malaria
084.6,"Malaria, unspecified"
084.9,Other pernicious complications of malaria
086.0,Chagas' disease with heart involvement
088.0,Bartonellosis
088.81,Lyme Disease
088.82,Babesiosis
090.2,"Early congenital syphilis, unspecified"
091.2,Other primary syphilis
091.52,Syphilitic iridocyclitis (secondary)
091.81,Acute syphilitic meningitis (secondary)
091.9,Unspecified secondary syphilis
093.1,Syphilitic aortitis
094.0,Tabes dorsalis
094.9,"Neurosyphilis, unspecified"
096,"Late syphilis, latent"
097.0,"Late syphilis, unspecified"
097.1,"Latent syphilis, unspecified"
097.9,"Syphilis, unspecified"
098.0,Gonococcal infection (acute) of lower genitourinary tract
099.3,Reiter's disease
110.0,Dermatophytosis of scalp and beard
110.1,Dermatophytosis of nail
110.3,Dermatophytosis of groin and perianal area
110.4,Dermatophytosis of foot
110.5,Dermatophytosis of the body
110.6,Deep seated dermatophytosis
110.8,Dermatophytosis of other specified sites
110.9,Dermatophytosis of unspecified site
111.0,Pityriasis versicolor
111.8,Other specified dermatomycoses
111.9,"Dermatomycosis, unspecified"
112.0,Candidiasis of mouth
112.1,Candidiasis of vulva and vagina
112.2,Candidiasis of other urogenital sites
112.3,Candidiasis of skin and nails
112.4,Candidiasis of lung
112.5,Disseminated candidiasis
112.81,Candidal endocarditis
112.83,Candidal meningitis
112.84,Candidal esophagitis
112.85,Candidal enteritis
112.89,Other candidiasis of other specified sites
112.9,Candidiasis of unspecified site
114.0,Primary coccidioidomycosis (pulmonary)
114.9,"Coccidioidomycosis, unspecified"
115.05,"Infection by Histoplasma capsulatum, pneumonia"
115.90,"Histoplasmosis, unspecified, without mention of manifestation"
115.99,"Histoplasmosis, unspecified, other"
116.0,Blastomycosis
117.3,Aspergillosis
117.4,Mycotic mycetomas
117.5,Cryptococcosis
117.7,Zygomycosis [Phycomycosis or Mucormycosis]
117.9,Other and unspecified mycoses
118,Opportunistic mycoses
120.8,Other specified schistosomiasis
120.9,"Schistosomiasis, unspecified"
121.1,Clonorchiasis
122.8,"Echinococcosis, unspecified, of liver"
123.1,Cysticercosis
125.1,Malayan filariasis
127.0,Ascariasis
127.2,Strongyloidiasis
127.3,Trichuriasis
130.0,Meningoencephalitis due to toxoplasmosis
130.7,Toxoplasmosis of other specified sites
130.9,"Toxoplasmosis, unspecified"
131.01,Trichomonal vulvovaginitis
131.09,Other urogenital trichomoniasis
132.0,Pediculus capitis [head louse]
132.9,"Pediculosis, unspecified"
133.0,Scabies
134.8,Other specified infestations
135,Sarcoidosis
136.1,Behcet's syndrome
136.3,Pneumocystosis
136.9,Unspecified infectious and parasitic diseases
137.0,Late effects of respiratory or unspecified tuberculosis
137.3,Late effects of tuberculosis of bones and joints
138,Late effects of acute poliomyelitis
139.0,Late effects of viral encephalitis
139.8,Late effects of other and unspecified infectious and parasitic diseases
140.0,"Malignant neoplasm of upper lip, vermilion border"
140.1,"Malignant neoplasm of lower lip, vermilion border"
140.9,"Malignant neoplasm of lip, unspecified, vermilion border"
141.0,Malignant neoplasm of base of tongue
141.4,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
141.8,Malignant neoplasm of other sites of tongue
141.9,"Malignant neoplasm of tongue, unspecified"
142.0,Malignant neoplasm of parotid gland
142.9,"Malignant neoplasm of salivary gland, unspecified"
143.0,Malignant neoplasm of upper gum
143.1,Malignant neoplasm of lower gum
143.9,"Malignant neoplasm of gum, unspecified"
144.0,Malignant neoplasm of anterior portion of floor of mouth
144.8,Malignant neoplasm of other sites of floor of mouth
144.9,"Malignant neoplasm of floor of mouth, part unspecified"
145.0,Malignant neoplasm of cheek mucosa
145.2,Malignant neoplasm of hard palate
145.3,Malignant neoplasm of soft palate
145.5,"Malignant neoplasm of palate, unspecified"
145.8,Malignant neoplasm of other specified parts of mouth
146.0,Malignant neoplasm of tonsil
146.1,Malignant neoplasm of tonsillar fossa
146.3,Malignant neoplasm of vallecula epiglottica
146.4,Malignant neoplasm of anterior aspect of epiglottis
146.7,Malignant neoplasm of posterior wall of oropharynx
146.8,Malignant neoplasm of other specified sites of oropharynx
146.9,"Malignant neoplasm of oropharynx, unspecified site"
147.1,Malignant neoplasm of posterior wall of nasopharynx
147.8,Malignant neoplasm of other specified sites of nasopharynx
147.9,"Malignant neoplasm of nasopharynx, unspecified site"
148.1,Malignant neoplasm of pyriform sinus
148.8,Malignant neoplasm of other specified sites of hypopharynx
148.9,"Malignant neoplasm of hypopharynx, unspecified site"
149.0,"Malignant neoplasm of pharynx, unspecified"
149.8,Malignant neoplasm of other sites within the lip and oral cavity
150.0,Malignant neoplasm of cervical esophagus
150.1,Malignant neoplasm of thoracic esophagus
150.3,Malignant neoplasm of upper third of esophagus
150.4,Malignant neoplasm of middle third of esophagus
150.5,Malignant neoplasm of lower third of esophagus
150.8,Malignant neoplasm of other specified part of esophagus
150.9,"Malignant neoplasm of esophagus, unspecified site"
151.0,Malignant neoplasm of cardia
151.1,Malignant neoplasm of pylorus
151.2,Malignant neoplasm of pyloric antrum
151.3,Malignant neoplasm of fundus of stomach
151.4,Malignant neoplasm of body of stomach
151.5,"Malignant neoplasm of lesser curvature of stomach, unspecified"
151.6,"Malignant neoplasm of greater curvature of stomach, unspecified"
151.8,Malignant neoplasm of other specified sites of stomach
151.9,"Malignant neoplasm of stomach, unspecified site"
152.0,Malignant neoplasm of duodenum
152.1,Malignant neoplasm of jejunum
152.2,Malignant neoplasm of ileum
152.8,Malignant neoplasm of other specified sites of small intestine
152.9,"Malignant neoplasm of small intestine, unspecified site"
153.0,Malignant neoplasm of hepatic flexure
153.1,Malignant neoplasm of transverse colon
153.2,Malignant neoplasm of descending colon
153.3,Malignant neoplasm of sigmoid colon
153.4,Malignant neoplasm of cecum
153.5,Malignant neoplasm of appendix vermiformis
153.6,Malignant neoplasm of ascending colon
153.7,Malignant neoplasm of splenic flexure
153.8,Malignant neoplasm of other specified sites of large intestine
153.9,"Malignant neoplasm of colon, unspecified site"
154.0,Malignant neoplasm of rectosigmoid junction
154.1,Malignant neoplasm of rectum
154.2,Malignant neoplasm of anal canal
154.3,"Malignant neoplasm of anus, unspecified site"
154.8,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus"
155.0,"Malignant neoplasm of liver, primary"
155.1,Malignant neoplasm of intrahepatic bile ducts
155.2,"Malignant neoplasm of liver, not specified as primary or secondary"
156.0,Malignant neoplasm of gallbladder
156.1,Malignant neoplasm of extrahepatic bile ducts
156.2,Malignant neoplasm of ampulla of vater
156.8,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts
156.9,"Malignant neoplasm of biliary tract, part unspecified site"
157.0,Malignant neoplasm of head of pancreas
157.1,Malignant neoplasm of body of pancreas
157.2,Malignant neoplasm of tail of pancreas
157.3,Malignant neoplasm of pancreatic duct
157.4,Malignant neoplasm of islets of langerhans
157.8,Malignant neoplasm of other specified sites of pancreas
157.9,"Malignant neoplasm of pancreas, part unspecified"
158.0,Malignant neoplasm of retroperitoneum
158.8,Malignant neoplasm of specified parts of peritoneum
158.9,"Malignant neoplasm of peritoneum, unspecified"
159.8,Malignant neoplasm of other sites of digestive system and intra-abdominal organs
159.9,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum
160.2,Malignant neoplasm of maxillary sinus
160.3,Malignant neoplasm of ethmoidal sinus
160.8,Malignant neoplasm of other accessory sinuses
161.0,Malignant neoplasm of glottis
161.1,Malignant neoplasm of supraglottis
161.2,Malignant neoplasm of subglottis
161.3,Malignant neoplasm of laryngeal cartilages
161.8,Malignant neoplasm of other specified sites of larynx
161.9,"Malignant neoplasm of larynx, unspecified"
162.0,Malignant neoplasm of trachea
162.2,Malignant neoplasm of main bronchus
162.3,"Malignant neoplasm of upper lobe, bronchus or lung"
162.4,"Malignant neoplasm of middle lobe, bronchus or lung"
162.5,"Malignant neoplasm of lower lobe, bronchus or lung"
162.8,Malignant neoplasm of other parts of bronchus or lung
162.9,"Malignant neoplasm of bronchus and lung, unspecified"
163.0,Malignant neoplasm of parietal pleura
163.8,Malignant neoplasm of other specified sites of pleura
163.9,"Malignant neoplasm of pleura, unspecified"
164.0,Malignant neoplasm of thymus
164.1,Malignant neoplasm of heart
164.2,Malignant neoplasm of anterior mediastinum
164.3,Malignant neoplasm of posterior mediastinum
164.8,Malignant neoplasm of other parts of mediastinum
164.9,"Malignant neoplasm of mediastinum, part unspecified"
17.31,"Oth and unspec malignant neoplasm of eyelid, including canthus"
17.32,Oth and unspec malignant neoplasm of skin of ear and external auditory canal
17.33,Oth and unspec malignant neoplasm of skin of oth and unspec parts of face
17.34,Oth and unspec malignant neoplasm of scalp and skin of neck
17.35,"Oth and unspec malignant neoplasm of skin of trunk, except scrotum"
17.36,"Oth and unspec malignant neoplasm of skin of upper limb, including shoulder"
17.39,"Oth and unspec malignant neoplasm of skin, site unspec"
170.0,"Malignant neoplasm of bones of skull and face, except mandible"
170.2,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx"
170.3,"Malignant neoplasm of ribs, sternum, and clavicle"
170.7,Malignant neoplasm of long bones of lower limb
171.0,"Erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified"
171.2,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)"
171.3,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli found (in sputum) by microscopy"
171.4,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
171.5,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
171.6,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
171.7,"Malignant neoplasm of connective and other soft tissue of trunk, unspecified"
171.8,Malignant neoplasm of other specified sites of connective and other soft tissue
172.0,Malignant melanoma of skin of lip
172.3,Malignant melanoma of skin of other and unspecified parts of face
172.4,Malignant melanoma of skin of scalp and neck
172.5,"Malignant melanoma of skin of trunk, except scrotum"
172.6,"Malignant melanoma of skin of upper limb, including shoulder"
172.7,"Malignant melanoma of skin of lower limb, including hip"
172.8,Malignant melanoma of other specified sites of skin
172.9,"Melanoma of skin, site unspecified"
173.22,Squamous cell carcinoma of skin of ear and external auditory canal
173.31,Basal cell carcinoma of skin of other and unspecified parts of face
173.32,Squamous cell carcinoma of skin of other and unspecified parts of face
173.41,Basal cell carcinoma of scalp and skin of neck
173.42,Squamous cell carcinoma of scalp and skin of neck
173.7,"Oth and unspec malignant neoplasm of skin of lower limb, including hip"
173.72,"Squamous cell carcinoma of skin of lower limb, including hip"
173.8,Oth and unspec malignant neoplasm of oth spec sites of skin
174.3,Malignant neoplasm of lower-inner quadrant of female breast
174.4,Malignant neoplasm of upper-outer quadrant of female breast
174.5,Malignant neoplasm of lower-outer quadrant of female breast
174.8,Malignant neoplasm of other specified sites of female breast
174.9,"Malignant neoplasm of breast (female), unspecified"
175.9,Malignant neoplasm of other and unspecified sites of male breast
176.0,"Kaposi's sarcoma, skin"
176.1,"Kaposi's sarcoma, soft tissue"
176.3,"Kaposi's sarcoma, gastrointestinal sites"
176.4,"Kaposi's sarcoma, lung"
176.8,"Kaposi's sarcoma, other specified sites"
176.9,"Kaposi's sarcoma, unspecified site"
179,"Malignant neoplasm of uterus, part unspecified"
180.0,"Acute miliary tuberculosis, unspecified"
180.8,Malignant neoplasm of other specified sites of cervix
180.9,"Malignant neoplasm of cervix uteri, unspecified site"
182.0,"Malignant neoplasm of corpus uteri, except isthmus"
183.0,Malignant neoplasm of ovary
183.2,Malignant neoplasm of fallopian tube
183.8,Malignant neoplasm of other specified sites of uterine adnexa
184.0,Malignant neoplasm of vagina
184.4,"Malignant neoplasm of vulva, unspecified site"
184.8,Malignant neoplasm of other specified sites of female genital organs
185,Malignant neoplasm of prostate
186.9,Malignant neoplasm of other and unspecified testis
187.4,"Malignant neoplasm of penis, part unspecified"
188.0,Malignant neoplasm of trigone of urinary bladder
188.1,Malignant neoplasm of dome of urinary bladder
188.2,Malignant neoplasm of lateral wall of urinary bladder
188.3,Malignant neoplasm of anterior wall of urinary bladder
188.4,Malignant neoplasm of posterior wall of urinary bladder
188.5,Malignant neoplasm of bladder neck
188.8,Malignant neoplasm of other specified sites of bladder
188.9,"Malignant neoplasm of bladder, part unspecified"
189.0,"Malignant neoplasm of kidney, except pelvis"
189.1,Malignant neoplasm of renal pelvis
189.2,Malignant neoplasm of ureter
189.3,Malignant neoplasm of urethra
189.8,Malignant neoplasm of other specified sites of urinary organs
190.5,Malignant neoplasm of retina
190.6,Malignant neoplasm of choroid
191.0,"Malignant neoplasm of cerebrum, except lobes and ventricles"
191.1,Malignant neoplasm of frontal lobe
191.2,Malignant neoplasm of temporal lobe
191.3,Malignant neoplasm of parietal lobe
191.4,Malignant neoplasm of occipital lobe
191.5,Malignant neoplasm of ventricles
191.6,Malignant neoplasm of cerebellum nos
191.7,Malignant neoplasm of brain stem
191.8,Malignant neoplasm of other parts of brain
191.9,"Malignant neoplasm of brain, unspecified"
192.0,Malignant neoplasm of cranial nerves
192.1,Malignant neoplasm of cerebral meninges
192.2,Malignant neoplasm of spinal cord
193,Malignant neoplasm of thyroid gland
194.0,Malignant neoplasm of adrenal gland
194.1,Malignant neoplasm of parathyroid gland
194.3,Malignant neoplasm of pituitary gland and craniopharyngeal duct
194.5,Malignant neoplasm of carotid body
195.0,"Malignant neoplasm of head, face, and neck"
195.1,Malignant neoplasm of thorax
195.2,Malignant neoplasm of abdomen
195.3,Malignant neoplasm of pelvis
195.8,Malignant neoplasm of other specified sites
196.0,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck"
196.1,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
196.2,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
196.3,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb
196.5,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb
196.6,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
196.8,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites
196.9,"Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified"
197.0,Secondary malignant neoplasm of lung
197.1,Secondary malignant neoplasm of mediastinum
197.2,Secondary malignant neoplasm of pleura
197.3,Secondary malignant neoplasm of other respiratory organs
197.4,Secondary malignant neoplasm of small intestine including duodenum
197.5,Secondary malignant neoplasm of large intestine and rectum
197.6,Secondary malignant neoplasm of retroperitoneum and peritoneum
197.7,"Malignant neoplasm of liver, secondary"
197.8,Secondary malignant neoplasm of other digestive organs and spleen
198.0,Secondary malignant neoplasm of kidney
198.1,Secondary malignant neoplasm of other urinary organs
198.2,Secondary malignant neoplasm of skin
198.3,Secondary malignant neoplasm of brain and spinal cord
198.4,Secondary malignant neoplasm of other parts of nervous system
198.5,Secondary malignant neoplasm of bone and bone marrow
198.6,Secondary malignant neoplasm of ovary
198.7,Secondary malignant neoplasm of adrenal gland
198.81,Secondary malignant neoplasm of breast
198.82,Secondary malignant neoplasm of genital organs
198.89,Secondary malignant neoplasm of other specified sites
199.0,Disseminated malignant neoplasm without specification of site
199.1,Other malignant neoplasm without specification of site
200.00,"Reticulosarcoma, unspecified site, extranodal and solid organ sites"
200.01,"Reticulosarcoma, lymph nodes of head, face, and neck"
200.02,"Reticulosarcoma, intrathoracic lymph nodes"
200.03,"Reticulosarcoma, intra-abdominal lymph nodes"
200.10,"Lymphosarcoma, unspecified site, extranodal and solid organ sites"
200.11,"Lymphosarcoma, lymph nodes of head, face, and neck"
200.18,"Lymphosarcoma, lymph nodes of multiple sites"
200.20,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites"
200.21,"Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck"
200.22,"Burkitt's tumor or lymphoma, intrathoracic lymph nodes"
200.23,"Burkitt's tumor or lymphoma, intra-abdominal lymph nodes"
200.24,"Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb"
200.28,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites"
200.30,"Marginal zone lymphoma, unspecified site, extranodal and solid organ sites"
200.33,"Marginal zone lymphoma, intraabdominal lymph nodes"
200.37,"Marginal zone lymphoma, spleen"
200.40,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites"
200.42,"Mantle cell lymphoma, intrathoracic lymph nodes"
200.47,"Mantle cell lymphoma, spleen"
200.48,"Mantle cell lymphoma, lymph nodes of multiple sites"
200.50,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites"
200.60,"Anaplastic large cell lymphoma, unspecified site, extranodal and solid organ sites"
200.70,"Large cell lymphoma, unspecified site, extranodal and solid organ sites"
200.71,"Large cell lymphoma, lymph nodes of head, face, and neck"
200.78,"Large cell lymphoma, lymph nodes of multiple sites"
200.80,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites"
